id,invoice_item_id,invoice_id,line_number,item_code,description,quantity,unit,unit_price,discount,tax_rate,tax_amount,line_total,po_number,received_quantity,matching_status,notes
1641,INVREC00747-01,INVREC00747,1,VER-001,Mobile Services,86,Line,1549.85,0,5,6664.37,133287.33,PO-2024-1379,86,Matched,Ready for payment.
1642,INVREC00747-02,INVREC00747,2,VER-002,Data Services,4,Month,25968.05,0,5,5193.61,103872.2,PO-2024-1379,4,Matched,Matched to purchase order.
1643,INVREC00748-01,INVREC00748,1,SNA-001,Hand Tools,12,Unit,11772.9,0,5,7063.74,141274.78,PO-2025-1494,12,Matched,Ready for payment.
1644,INVREC00748-02,INVREC00748,2,SNA-002,Diagnostic Equipment,2,Unit,59659.96,0,5,5966,119319.92,PO-2025-1494,2,Matched,Validated automatically.
1645,INVREC00749-01,INVREC00749,1,FED-002,International Freight,4,Shipment,11576.22,0,18,8334.88,46304.89,PO-2024-1310,4,Matched,Goods receipt confirmed.
1646,INVREC00749-02,INVREC00749,2,FED-001,Express Shipping,9,Shipment,3134.3,0,18,5077.57,28208.72,PO-2024-1310,9,Matched,Matched to purchase order.
1647,INVREC00750-01,INVREC00750,1,TIM-001,Bearings,38,Unit,3861.27,0,20,29345.65,146728.26,PO-2026-0507,38,Matched,Three-way match completed.
1648,INVREC00750-02,INVREC00750,2,TIM-002,Lubrication Systems,6,Unit,16399.04,0,20,19678.85,98394.24,PO-2026-0507,6,Matched,Validated automatically.
1649,INVREC00751-01,INVREC00751,1,ADT-002,Alarm Systems,5,Unit,58895.9,0,5,14723.98,294479.51,PO-2025-0021,5,Matched,Matched to purchase order.
1650,INVREC00751-02,INVREC00751,2,ADT-001,Security Monitoring,10,Month,19509.27,0,5,9754.63,195092.67,PO-2025-0021,10,Matched,Successfully matched against PO.
1651,INVREC00752-01,INVREC00752,1,SIE-002,Electrical Equipment,8,Unit,15288.55,0,5,6115.42,122308.41,PO-2023-0108,8,Matched,Ready for payment.
1652,INVREC00752-02,INVREC00752,2,SIE-001,Industrial Automation,1,Unit,277973.67,0,5,13898.68,277973.67,PO-2023-0108,1,Matched,Matched to purchase order.
1653,INVREC00753-01,INVREC00753,1,WWG-001,MRO Supplies,24,Box,7074.8,13583.61,20,31242.31,169795.14,PO-2026-0924,24,Matched,Validated automatically.
1654,INVREC00753-02,INVREC00753,2,WWG-002,HVAC Parts,11,Unit,15847.55,0,20,37581.32,174323.01,PO-2026-0924,11,Matched,Successfully matched against PO.
1655,INVREC00754-01,INVREC00754,1,ATL-001,Air Cargo Charter,2,Flight,226235.25,0,0,0,452470.5,PO-2025-0121,2,Matched,Goods receipt confirmed.
1656,INVREC00755-01,INVREC00755,1,PWC-001,Assurance Services,1,Project,281695.79,0,5,14084.79,281695.79,PO-2023-1334,1,Matched,Matched to purchase order.
1657,INVREC00755-02,INVREC00755,2,PWC-002,Advisory Services,24,Hour,7790.26,0,5,9348.31,186966.23,PO-2023-1334,24,Matched,Successfully matched against PO.
1658,INVREC00756-01,INVREC00756,1,OFW-CHAIR,Ergonomic Office Chair,6,Unit,25301.3,0,18,27325.4,151807.8,PO-2023-0145,6,Matched,Three-way match completed.
1659,INVREC00756-02,INVREC00756,2,OFW-CABIN,Filing Cabinet,6,Unit,29586.2,0,18,31953.09,177517.19,PO-2023-0145,6,Matched,Matched to purchase order.
1660,INVREC00756-03,INVREC00756,3,OFW-BOOK,Bookshelf,1,Unit,62437.08,0,18,11238.67,62437.08,PO-2023-0145,1,Matched,Ready for payment.
1661,INVREC00756-04,INVREC00756,4,OFW-DESK,Standing Desk,1,Unit,95492.01,0,18,17188.56,95492.01,PO-2023-0145,1,Matched,Successfully matched against PO.
1662,INVREC00757-01,INVREC00757,1,EXP-001,Customs Clearance,4,Shipment,51003.21,0,10,20401.28,204012.83,PO-2026-0300,3,Awaiting Approval,Pending goods receipt confirmation.
1663,INVREC00757-02,INVREC00757,2,EXP-002,International Logistics,3,Shipment,34946.64,0,10,10483.99,104839.92,PO-2026-0300,2,Awaiting Approval,Pending goods receipt confirmation.
1664,INVREC00758-01,INVREC00758,1,REP-001,Trash Removal,1,Month,180078.62,0,10,18007.86,180078.62,PO-2023-0600,1,Matched,Goods receipt confirmed.
1665,INVREC00758-02,INVREC00758,2,REP-002,Dumpster Rental,1,Month,123988.56,0,10,12398.86,123988.56,PO-2023-0600,1,Matched,Ready for payment.
1666,INVREC00759-01,INVREC00759,1,WMI-002,Recycling Services,4,Month,13350.31,0,0,0,53401.25,PO-2025-0732,4,Matched,Goods receipt confirmed.
1667,INVREC00759-02,INVREC00759,2,WMI-001,Waste Collection,1,Month,47467.77,2373.39,0,0,47467.77,PO-2025-0732,1,Matched,Validated automatically.
1668,INVREC00760-01,INVREC00760,1,FED-002,International Freight,1,Shipment,16462.62,0,10,1646.26,16462.62,PO-2024-0726,1,Awaiting Approval,Pending goods receipt confirmation.
1669,INVREC00760-02,INVREC00760,2,FED-001,Express Shipping,2,Shipment,7213.96,0,10,1442.79,14427.92,PO-2024-0726,2,Awaiting Approval,Pending goods receipt confirmation.
1670,INVREC00761-01,INVREC00761,1,ORC-002,Cloud Services,7,Month,8557.25,0,18,10782.14,59900.77,PO-2023-0157,7,Matched,Ready for payment.
1671,INVREC00761-02,INVREC00761,2,ORC-001,Database License,8,Processor,12037.02,0,18,17333.31,96296.17,PO-2023-0157,8,Matched,Successfully matched against PO.
1672,INVREC00762-01,INVREC00762,1,SKF-002,Seals,13,Box,2098.94,0,5,1364.31,27286.19,PO-2025-0625,13,Matched,Three-way match completed.
1673,INVREC00762-02,INVREC00762,2,SKF-001,Industrial Bearings,46,Unit,638.04,0,5,1467.49,29349.85,PO-2025-0625,46,Matched,Goods receipt confirmed.
1674,INVREC00763-01,INVREC00763,1,SAP-001,ERP License,16,User,6318.79,0,0,0,101100.59,PO-2026-0703,16,Matched,Validated automatically.
1675,INVREC00763-02,INVREC00763,2,SAP-002,Implementation Services,16,Hour,6376.23,7141.38,0,0,102019.69,PO-2026-0703,16,Matched,Goods receipt confirmed.
1676,INVREC00764-01,INVREC00764,1,NH-002,Market Analysis,2,Project,120986.02,0,20,48394.41,241972.04,PO-2023-1281,2,Matched,Matched to purchase order.
1677,INVREC00764-02,INVREC00764,2,NH-001,Strategic Consulting,26,Hour,9384.17,21958.96,20,48797.69,243988.47,PO-2023-1281,26,Matched,Validated automatically.
1678,INVREC00765-01,INVREC00765,1,GS-001,Bulk Materials,2,Ton,48682.8,0,0,0,97365.6,PO-2025-0792,2,Matched,Validated automatically.
1679,INVREC00765-02,INVREC00765,2,GS-002,Logistics Services,4,Shipment,38830.33,0,0,0,155321.32,PO-2025-0792,4,Matched,Matched to purchase order.
1680,INVREC00766-01,INVREC00766,1,SEC-001,Security Guard Services,42,Hour,577.77,0,20,4853.3,24266.49,PO-2023-0233,42,Matched,Successfully matched against PO.
1681,INVREC00766-02,INVREC00766,2,SEC-002,Access Control Systems,9,Unit,2633.57,0,20,4740.43,23702.16,PO-2023-0233,9,Matched,Ready for payment.
1682,INVREC00767-01,INVREC00767,1,CIS-003,Firewall,3,Unit,12220.61,0,10,3666.18,36661.83,PO-2024-1459,3,Matched,Three-way match completed.
1683,INVREC00767-02,INVREC00767,2,CIS-001,Network Router,3,Unit,8641.72,0,10,2592.52,25925.15,PO-2024-1459,3,Matched,Matched to purchase order.
1684,INVREC00767-03,INVREC00767,3,CIS-002,Switch,13,Unit,3021.58,2356.83,10,3928.05,39280.54,PO-2024-1459,13,Matched,Successfully matched against PO.
1685,INVREC00768-01,INVREC00768,1,STP-FOLD,Manila Folders,11,Box,4451.93,0,18,8814.81,48971.19,PO-2024-1134,10,Awaiting Approval,Pending goods receipt confirmation.
1686,INVREC00768-02,INVREC00768,2,STP-PAPER,A4 Printer Paper,138,Ream,373.83,0,18,9285.83,51587.96,PO-2024-1134,126,Awaiting Approval,Pending goods receipt confirmation.
1687,INVREC00768-03,INVREC00768,3,STP-PENS,Ballpoint Pens (Box),9,Box,3156.75,0,18,5113.94,28410.77,PO-2024-1134,7,Awaiting Approval,Pending goods receipt confirmation.
1688,INVREC00768-04,INVREC00768,4,STP-INK,Ink Cartridge,4,Each,11588.6,0,18,8343.79,46354.41,PO-2024-1134,3,Awaiting Approval,Pending goods receipt confirmation.
1689,INVREC00769-01,INVREC00769,1,CIN-002,Floor Mats,25,Month,1406.75,0,5,1758.44,35168.78,PO-2024-0134,25,Matched,Ready for payment.
1690,INVREC00769-02,INVREC00769,2,CIN-001,Uniforms Rental,56,Month,931.89,0,5,2609.3,52185.92,PO-2024-0134,56,Matched,Ready for payment.
1691,INVREC00770-01,INVREC00770,1,EMR-002,Valves & Actuators,4,Unit,21229.04,0,20,16983.23,84916.15,PO-2024-0424,4,Matched,Successfully matched against PO.
1692,INVREC00770-02,INVREC00770,2,EMR-001,Process Control,5,Unit,28934.39,0,20,28934.39,144671.97,PO-2024-0424,5,Matched,Goods receipt confirmed.
1693,INVREC00771-01,INVREC00771,1,ECO-002,Sanitation Services,11,Month,11537.25,0,0,0,126909.79,PO-2025-0973,11,Matched,Validated automatically.
1694,INVREC00771-02,INVREC00771,2,ECO-001,Cleaning Chemicals,4,Case,48301.49,0,0,0,193205.95,PO-2025-0973,4,Matched,Ready for payment.
1695,INVREC00772-01,INVREC00772,1,DEL-002,Tax Consulting,22,Hour,2572.26,0,5,2829.49,56589.71,PO-2026-0203,22,Matched,Matched to purchase order.
1696,INVREC00772-02,INVREC00772,2,DEL-001,Audit Services,1,Project,26183.3,0,5,1309.17,26183.3,PO-2026-0203,1,Matched,Goods receipt confirmed.
1697,INVREC00773-01,INVREC00773,1,SPG-001,Market Data Subscription,5,Month,56336.23,0,10,28168.11,281681.14,PO-2026-0209,5,Matched,Three-way match completed.
1698,INVREC00773-02,INVREC00773,2,SPG-002,Ratings Services,1,Project,213272.86,0,10,21327.29,213272.86,PO-2026-0209,1,Matched,Three-way match completed.
1699,INVREC00774-01,INVREC00774,1,GE-001,Power Generation,2,Unit,121573.44,0,5,12157.34,243146.87,PO-2024-0834,2,Matched,Successfully matched against PO.
1700,INVREC00774-02,INVREC00774,2,GE-002,Medical Equipment,3,Unit,46736.26,0,5,7010.44,140208.78,PO-2024-0834,3,Matched,Goods receipt confirmed.
1701,INVREC00775-01,INVREC00775,1,EMR-002,Valves & Actuators,16,Unit,10362.46,0,5,8289.97,165799.39,PO-2023-0850,16,Matched,Successfully matched against PO.
1702,INVREC00775-02,INVREC00775,2,EMR-001,Process Control,2,Unit,143480.24,0,5,14348.02,286960.48,PO-2023-0850,2,Matched,Ready for payment.
1703,INVREC00776-01,INVREC00776,1,CHR-001,Freight Brokerage,8,Shipment,23182.36,0,5,9272.94,185458.86,PO-2024-0286,8,Matched,Matched to purchase order.
1704,INVREC00776-02,INVREC00776,2,CHR-002,Warehousing,12,Pallet,21229.27,0,5,12737.56,254751.19,PO-2024-0286,12,Matched,Three-way match completed.
1705,INVREC00777-01,INVREC00777,1,SEC-002,Access Control Systems,4,Unit,21091.84,0,18,15186.12,84367.35,PO-2025-0290,4,Matched,Matched to purchase order.
1706,INVREC00777-02,INVREC00777,2,SEC-001,Security Guard Services,147,Hour,434.32,0,18,11492.2,63845.56,PO-2025-0290,147,Matched,Goods receipt confirmed.
1707,INVREC00778-01,INVREC00778,1,SEC-001,Security Guard Services,138,Hour,564.41,0,10,7788.8,77888.03,PO-2023-0721,138,Matched,Successfully matched against PO.
1708,INVREC00778-02,INVREC00778,2,SEC-002,Access Control Systems,6,Unit,33202.27,0,10,19921.36,199213.62,PO-2023-0721,6,Matched,Three-way match completed.
1709,INVREC00779-01,INVREC00779,1,PEN-001,Fleet Management,2,Month,91038.61,0,20,36415.44,182077.22,PO-2024-0076,2,Matched,Matched to purchase order.
1710,INVREC00779-02,INVREC00779,2,PEN-002,Distribution Services,30,Pallet,5370.62,0,20,32223.74,161118.69,PO-2024-0076,30,Matched,Ready for payment.
1711,INVREC00780-01,INVREC00780,1,KUN-002,Air Freight,1,Shipment,126393.61,0,18,22750.85,126393.61,PO-2023-1116,1,Matched,Successfully matched against PO.
1712,INVREC00780-02,INVREC00780,2,KUN-001,Supply Chain Management,6,Month,33952.79,0,18,36669.02,203716.75,PO-2023-1116,6,Matched,Ready for payment.
1713,INVREC00781-01,INVREC00781,1,CUM-001,Engine Parts,2,Unit,137305.81,27461.16,20,49430.09,274611.61,PO-2025-1056,2,Matched,Successfully matched against PO.
1714,INVREC00781-02,INVREC00781,2,CUM-002,Generators,2,Unit,80095.05,0,20,37530.25,160190.11,PO-2025-1056,2,Matched,Goods receipt confirmed.
1715,INVREC00782-01,INVREC00782,1,WWG-002,HVAC Parts,9,Unit,1789.7,0,10,1610.73,16107.27,PO-2024-0110,6,Awaiting Approval,Pending goods receipt confirmation.
1716,INVREC00782-02,INVREC00782,2,WWG-001,MRO Supplies,29,Box,353.06,0,10,1023.87,10238.73,PO-2024-0110,27,Awaiting Approval,Pending goods receipt confirmation.
1717,INVREC00783-01,INVREC00783,1,MCM-001,Fasteners,67,Box,1826.38,0,5,6118.37,122367.35,PO-2024-0677,67,Matched,Ready for payment.
1718,INVREC00783-02,INVREC00783,2,MCM-002,Hardware,47,Each,2507.84,0,5,5893.43,117868.56,PO-2024-0677,47,Matched,Goods receipt confirmed.
1719,INVREC00784-01,INVREC00784,1,MOD-002,Office Chair,5,Unit,38037.42,0,20,38037.42,190187.12,PO-2026-1189,5,Matched,Matched to purchase order.
1720,INVREC00784-02,INVREC00784,2,MOD-001,Office Desk,3,Unit,75970.06,0,20,45582.04,227910.19,PO-2026-1189,3,Matched,Ready for payment.
1721,INVREC00785-01,INVREC00785,1,QL-002,Courier Services,11,Package,3025.49,1664.02,10,3161.64,33280.38,PO-2025-1205,11,Matched,Matched to purchase order.
1722,INVREC00785-02,INVREC00785,2,QL-001,Domestic Freight,14,Pallet,1558.8,0,10,2348.72,21823.2,PO-2025-1205,14,Matched,Successfully matched against PO.
1723,INVREC00786-01,INVREC00786,1,VER-001,Mobile Services,98,Line,751.27,0,20,14724.83,73624.13,PO-2023-1078,98,Matched,Validated automatically.
1724,INVREC00786-02,INVREC00786,2,VER-002,Data Services,1,Month,75528.21,0,20,15105.64,75528.21,PO-2023-1078,1,Matched,Successfully matched against PO.
1725,INVREC00787-01,INVREC00787,1,GOO-002,Retread Services,20,Unit,9677.58,0,5,9677.58,193551.52,PO-2023-0396,20,Matched,Three-way match completed.
1726,INVREC00787-02,INVREC00787,2,GOO-001,Commercial Tires,37,Unit,2508.07,0,5,4639.93,92798.67,PO-2023-0396,37,Matched,Goods receipt confirmed.
1727,INVREC00788-01,INVREC00788,1,ALP-001,Heavy Machinery,2,Unit,132453.36,0,20,52981.34,264906.72,PO-2025-1350,2,Matched,Validated automatically.
1728,INVREC00788-02,INVREC00788,2,ALP-002,Spare Parts,10,Box,16970.59,0,20,33941.17,169705.87,PO-2025-1350,10,Matched,Validated automatically.
1729,INVREC00789-01,INVREC00789,1,EY-002,Risk Consulting,10,Hour,16772.19,0,5,8386.1,167721.93,PO-2025-0462,10,Matched,Validated automatically.
1730,INVREC00789-02,INVREC00789,2,EY-001,Financial Audit,1,Project,322202.66,0,5,16110.13,322202.66,PO-2025-0462,1,Matched,Goods receipt confirmed.
1731,INVREC00790-01,INVREC00790,1,ECO-001,Cleaning Chemicals,15,Case,8515.85,0,20,25547.56,127737.79,PO-2024-0872,15,Matched,Validated automatically.
1732,INVREC00790-02,INVREC00790,2,ECO-002,Sanitation Services,2,Month,78435.49,0,20,31374.2,156870.98,PO-2024-0872,2,Matched,Validated automatically.
1733,INVREC00791-01,INVREC00791,1,ELT-001,Janitorial Services,14,Visit,12356.57,0,5,8649.6,172992.01,PO-2026-1091,14,Matched,Three-way match completed.
1734,INVREC00791-02,INVREC00791,2,ELT-002,Facility Maintenance,12,Hour,14416,8649.6,5,8649.6,172992.02,PO-2026-1091,12,Matched,Goods receipt confirmed.
1735,INVREC00792-01,INVREC00792,1,GEN-002,Miscellaneous Supplies,84,Each,2490.15,0,18,37651.11,209172.84,PO-2025-0877,84,Matched,Goods receipt confirmed.
1736,INVREC00792-02,INVREC00792,2,GEN-001,General Services,48,Hour,5541.94,0,18,47882.39,266013.29,PO-2025-0877,48,Matched,Successfully matched against PO.
1737,INVREC00793-01,INVREC00793,1,SUM-002,Implementation Service,37,Hour,4997.89,12944.53,10,17197.73,184921.82,PO-2023-0196,37,Matched,Goods receipt confirmed.
1738,INVREC00793-02,INVREC00793,2,SUM-001,Software License,29,User,9064.79,5257.58,10,27582.36,262879.05,PO-2023-0196,29,Matched,Ready for payment.
1739,INVREC00794-01,INVREC00794,1,NH-001,Strategic Consulting,20,Hour,2400.67,0,20,9602.68,48013.42,PO-2023-0270,20,Matched,Matched to purchase order.
1740,INVREC00794-02,INVREC00794,2,NH-002,Market Analysis,2,Project,18085.06,0,20,7234.02,36170.11,PO-2023-0270,2,Matched,Matched to purchase order.
1741,INVREC00795-01,INVREC00795,1,MAE-001,Container Shipping,5,Container,51086.07,0,20,51086.07,255430.36,PO-2024-0063,5,Matched,Three-way match completed.
1742,INVREC00795-02,INVREC00795,2,MAE-002,Freight Forwarding,1,Shipment,174157.06,0,20,34831.41,174157.06,PO-2024-0063,1,Matched,Matched to purchase order.
1743,INVREC00796-01,INVREC00796,1,SOD-002,Catering,2,Event,9658.16,0,5,965.82,19316.32,PO-2023-0985,2,Matched,Three-way match completed.
1744,INVREC00796-02,INVREC00796,2,SOD-001,Facility Management,6,Month,5002.43,0,5,1500.73,30014.59,PO-2023-0985,6,Matched,Goods receipt confirmed.
1745,INVREC00797-01,INVREC00797,1,VER-001,Mobile Services,99,Line,1130.3,0,5,5594.96,111899.21,PO-2024-1379,99,Matched,Matched to purchase order.
1746,INVREC00797-02,INVREC00797,2,VER-002,Data Services,1,Month,125260.32,0,5,6263.02,125260.32,PO-2024-1379,1,Matched,Goods receipt confirmed.
1747,INVREC00798-01,INVREC00798,1,BBY-001,Television,3,Unit,2289.46,0,10,686.84,6868.39,PO-2026-1105,3,Matched,Ready for payment.
1748,INVREC00798-02,INVREC00798,2,BBY-002,Audio System,7,Unit,1032.46,0,10,722.72,7227.19,PO-2026-1105,7,Matched,Ready for payment.
1749,INVREC00799-01,INVREC00799,1,AMZ-STAND,Laptop Stand,10,Each,8038.5,0,20,16076.99,80384.96,PO-2026-1162,7,Awaiting Approval,Pending goods receipt confirmation.
1750,INVREC00799-02,INVREC00799,2,AMZ-HDMI,HDMI Cable,2,Each,28779.8,0,20,11511.92,57559.6,PO-2026-1162,2,Awaiting Approval,Pending goods receipt confirmation.
1751,INVREC00799-03,INVREC00799,3,AMZ-ADAPT,Ethernet Adapter,29,Each,2224.36,0,20,12901.29,64506.45,PO-2026-1162,24,Awaiting Approval,Pending goods receipt confirmation.
1752,INVREC00799-04,INVREC00799,4,AMZ-USBH,USB Hub,19,Each,6685.69,6351.41,20,25405.62,127028.1,PO-2026-1162,17,Awaiting Approval,Pending goods receipt confirmation.
1753,INVREC00800-01,INVREC00800,1,SKF-002,Seals,7,Box,7161.9,0,20,10026.66,50133.31,PO-2024-0599,6,Awaiting Approval,Pending goods receipt confirmation.
1754,INVREC00800-02,INVREC00800,2,SKF-001,Industrial Bearings,16,Unit,2532.42,0,20,8103.74,40518.7,PO-2024-0599,11,Awaiting Approval,Pending goods receipt confirmation.
1755,INVREC00801-01,INVREC00801,1,CBRE-002,Property Valuation,2,Project,51825.14,0,5,5182.51,103650.27,PO-2025-1419,2,Matched,Goods receipt confirmed.
1756,INVREC00801-02,INVREC00801,2,CBRE-001,Commercial Real Estate,1,Project,55811.69,0,5,2790.58,55811.69,PO-2025-1419,1,Matched,Ready for payment.
1757,INVREC00802-01,INVREC00802,1,ZF-002,Industrial Drives,2,Unit,148163.96,0,0,0,296327.92,PO-2026-0017,2,Matched,Goods receipt confirmed.
1758,INVREC00802-02,INVREC00802,2,ZF-001,Automotive Components,2,Unit,71338.2,0,0,0,142676.4,PO-2026-0017,2,Matched,Goods receipt confirmed.
1759,INVREC00803-01,INVREC00803,1,JLL-002,Leasing Services,1,Project,6870.47,0,5,343.52,6870.47,PO-2025-0048,1,Matched,Matched to purchase order.
1760,INVREC00803-02,INVREC00803,2,JLL-001,Property Management,2,Month,2690.93,0,5,269.09,5381.86,PO-2025-0048,2,Matched,Ready for payment.
1761,INVREC00804-01,INVREC00804,1,DELL-MON,"24"" Monitor",11,Unit,19636.59,6480.07,18,37714.03,216002.45,PO-2025-0229,11,Matched,Validated automatically.
1762,INVREC00804-02,INVREC00804,2,DELL-LAT,Latitude Laptop,1,Unit,183687.12,0,18,34230.09,183687.12,PO-2025-0229,1,Matched,Ready for payment.
1763,INVREC00805-01,INVREC00805,1,GRA-001,Industrial Supplies,9,Box,11521.28,0,10,10369.15,103691.53,PO-2023-1167,9,Matched,Validated automatically.
1764,INVREC00805-02,INVREC00805,2,GRA-002,Safety Equipment,42,Unit,2598.79,0,10,10914.9,109148.97,PO-2023-1167,42,Matched,Goods receipt confirmed.
1765,INVREC00806-01,INVREC00806,1,GEN-001,General Services,41,Hour,2031.13,0,5,4163.81,83276.25,PO-2024-1451,41,Matched,Ready for payment.
1766,INVREC00806-02,INVREC00806,2,GEN-002,Miscellaneous Supplies,15,Each,7137.96,0,5,5353.47,107069.46,PO-2024-1451,15,Matched,Successfully matched against PO.
1767,INVREC00807-01,INVREC00807,1,VMW-002,Support Services,2,Year,31064.8,4970.37,10,5715.92,62129.59,PO-2025-0105,2,Awaiting Approval,Pending goods receipt confirmation.
1768,INVREC00807-02,INVREC00807,2,VMW-001,vSphere License,13,CPU,2037.64,0,10,3145.98,26489.36,PO-2025-0105,9,Awaiting Approval,Pending goods receipt confirmation.
1769,INVREC00808-01,INVREC00808,1,SNA-002,Diagnostic Equipment,5,Unit,39955.97,0,20,39955.97,199779.87,PO-2025-0510,5,Matched,Goods receipt confirmed.
1770,INVREC00808-02,INVREC00808,2,SNA-001,Hand Tools,19,Unit,9422.29,0,20,35804.7,179023.52,PO-2025-0510,19,Matched,Matched to purchase order.
1771,INVREC00809-01,INVREC00809,1,KUN-001,Supply Chain Management,3,Month,89176.29,0,5,13376.44,267528.88,PO-2026-0112,3,Matched,Successfully matched against PO.
1772,INVREC00809-02,INVREC00809,2,KUN-002,Air Freight,5,Shipment,44504.81,0,5,11126.2,222524.03,PO-2026-0112,5,Matched,Validated automatically.
1773,INVREC00810-01,INVREC00810,1,AMZ-USBH,USB Hub,16,Each,957.19,0,5,765.75,15315.09,PO-2025-0823,16,Matched,Three-way match completed.
1774,INVREC00810-02,INVREC00810,2,AMZ-ADAPT,Ethernet Adapter,21,Each,829.5,0,5,870.97,17419.46,PO-2025-0823,21,Matched,Three-way match completed.
1775,INVREC00810-03,INVREC00810,3,AMZ-HDMI,HDMI Cable,20,Each,870.97,0,5,870.97,17419.45,PO-2025-0823,20,Matched,Ready for payment.
1776,INVREC00811-01,INVREC00811,1,ABCD-300,Packaging Film,30,Roll,2838.43,0,20,17030.56,85152.82,PO-2026-0697,30,Matched,Matched to purchase order.
1777,INVREC00811-02,INVREC00811,2,ABCD-200,Industrial Fasteners,32,Box,2605,0,20,16672.02,83360.12,PO-2026-0697,32,Matched,Goods receipt confirmed.
1778,INVREC00812-01,INVREC00812,1,TYC-001,Fire Protection Systems,3,Unit,8472.86,0,0,0,25418.58,PO-2024-0088,3,Awaiting Approval,Pending goods receipt confirmation.
1779,INVREC00812-02,INVREC00812,2,TYC-002,Building Safety,1,System,19063.94,0,0,0,19063.94,PO-2024-0088,1,Awaiting Approval,Pending goods receipt confirmation.
1780,INVREC00813-01,INVREC00813,1,FED-002,International Freight,1,Shipment,124406.6,0,0,0,124406.6,PO-2025-0204,1,Matched,Three-way match completed.
1781,INVREC00813-02,INVREC00813,2,FED-001,Express Shipping,1,Shipment,174439.69,5233.19,0,0,174439.69,PO-2025-0204,1,Matched,Matched to purchase order.
1782,INVREC00814-01,INVREC00814,1,DHL-FUEL,Fuel Surcharge,1,Percent,113392.13,0,0,0,113392.13,PO-2025-1454,1,Matched,Matched to purchase order.
1783,INVREC00814-02,INVREC00814,2,DHL-EXP,Express Delivery,5,Shipment,21746.44,0,0,0,108732.18,PO-2025-1454,5,Matched,Validated automatically.
1784,INVREC00815-01,INVREC00815,1,CIN-001,Uniforms Rental,88,Month,775.76,0,18,12288.1,68267.21,PO-2023-0423,88,Matched,Three-way match completed.
1785,INVREC00815-02,INVREC00815,2,CIN-002,Floor Mats,43,Month,1292.77,0,18,10006.02,55589.01,PO-2023-0423,43,Matched,Matched to purchase order.
1786,INVREC00816-01,INVREC00816,1,EY-001,Financial Audit,1,Project,296129.3,0,18,53303.27,296129.3,PO-2025-0102,1,Awaiting Approval,Pending goods receipt confirmation.
1787,INVREC00816-02,INVREC00816,2,EY-002,Risk Consulting,8,Hour,16082.88,9006.41,18,23159.36,128663.07,PO-2025-0102,7,Awaiting Approval,Pending goods receipt confirmation.
1788,INVREC00817-01,INVREC00817,1,ARA-001,Food Services,1,Month,41719.96,0,10,4172,41719.96,PO-2025-1135,1,Matched,Matched to purchase order.
1789,INVREC00817-02,INVREC00817,2,ARA-002,Vending Services,6,Month,6624.45,0,10,3974.67,39746.72,PO-2025-1135,6,Matched,Matched to purchase order.
1790,INVREC00818-01,INVREC00818,1,KUN-001,Supply Chain Management,3,Month,72044.34,21613.3,10,19451.97,216133.01,PO-2026-0355,3,Matched,Ready for payment.
1791,INVREC00818-02,INVREC00818,2,KUN-002,Air Freight,3,Shipment,92802.88,0,10,30002.19,278408.63,PO-2026-0355,3,Matched,Successfully matched against PO.
1792,INVREC00819-01,INVREC00819,1,BAI-001,Strategy Services,32,Hour,478.79,0,20,3064.28,15321.41,PO-2024-0052,32,Matched,Ready for payment.
1793,INVREC00819-02,INVREC00819,2,BAI-002,Due Diligence,1,Project,19835.75,0,20,3967.15,19835.75,PO-2024-0052,1,Matched,Goods receipt confirmed.
1794,INVREC00820-01,INVREC00820,1,REG-002,Power Transmission,6,Unit,19936.92,0,18,21531.88,119621.53,PO-2026-0636,6,Matched,Ready for payment.
1795,INVREC00820-02,INVREC00820,2,REG-001,Motion Control,4,Unit,35756.44,0,18,25744.64,143025.75,PO-2026-0636,4,Matched,Validated automatically.
1796,INVREC00821-01,INVREC00821,1,MCD-001,Catering Services,1,Event,202429.66,0,20,40485.93,202429.66,PO-2026-0551,1,Matched,Ready for payment.
1797,INVREC00822-01,INVREC00822,1,ABCD-300,Packaging Film,64,Roll,2045.42,0,0,0,130906.57,PO-2026-0382,64,Matched,Three-way match completed.
1798,INVREC00822-02,INVREC00822,2,ABCD-200,Industrial Fasteners,187,Box,982.74,0,0,0,183772.69,PO-2026-0382,187,Matched,Goods receipt confirmed.
1799,INVREC00822-03,INVREC00822,3,ABCD-100,Steel Coils,4,Ton,32726.64,0,0,0,130906.57,PO-2026-0382,4,Matched,Successfully matched against PO.
1800,INVREC00823-01,INVREC00823,1,PIN-001,Financial Advisory,16,Hour,4342.85,0,10,6948.57,69485.68,PO-2026-0800,16,Matched,Validated automatically.
1801,INVREC00823-02,INVREC00823,2,PIN-002,Investment Services,1,Project,164881.28,0,10,16488.13,164881.28,PO-2026-0800,1,Matched,Goods receipt confirmed.
1802,INVREC00824-01,INVREC00824,1,DEW-001,Construction Tools,4,Unit,52082.92,0,5,10416.58,208331.69,PO-2026-0760,4,Matched,Three-way match completed.
1803,INVREC00824-02,INVREC00824,2,DEW-002,Power Tools,1,Unit,248261.93,14895.72,5,12413.1,248261.93,PO-2026-0760,1,Matched,Validated automatically.
